91,2,"（河床中的）壶穴","(Héchuáng zhōng de) húxué"
92,1,"牙边石幔","Yábiān shímàn"
93,1,"埋藏型岩溶","Máicángxíng yánróng"
93,2,"覆盖型岩溶","Fùgàixíng yánróng"
94,1,"头灯","Tóudēng"
95,1,"高原","Gāoyuán"
95,2,"台地","Táidì"
95,3,"高地","Gāodì"
96,1,"持有","Chíyǒu"
97,1,"梯级","Tījí"
98,1,"地下","Dìxià"
99,1,"通道","Tōngdào"
100,1,"出水洞","Chūshuǐdòng"
100,2,"外排洞穴","Wàipáidòngxué"
100,3,"泉","Quán"
101,1,"潜流带","Qiánliúdài"
101,2,"饱水带","Bǎoshuǐdài"
102,1,"钟乳石","Zhōngrǔshí"
103,1,"石膏","Shígāo"
104,1,"石膏花","Shígāohuā"
105,1,"球形空腔","Qiúxíng kōngqiāng"
106,1,"风成石藤","Fēngchéng shíténg"
106,2,"偏心钟乳石","Piānxīn zhōngrǔshí"
106,3,"卷曲石","Juǎnqū shí"
106,4,"石枝","Shízhī"
107,1,"渗流带","Shènliúdài"
107,2,"包气带","Bāoqìdài"
108,1,"鸟粪石","Niǎofènshí"
108,2,"磷矿石","Línkuàngshí"
109,1,"绳梯","Shéngtī"
111,1,"渔人结","Yúrénjié"
111,2,"渔夫结","Yúfūjié"
112,1,"烟囱","Yāncōng"
112,2,"横贯","Héngguàn"
113,1,"裂缝","Lièfèng"
113,2,"裂沟","Liègōu"
113,3,"节理","Jiélǐ"
114,1,"隙洞","Xìdòng"
114,2,"裂隙洞穴","Lièxìdòngxué"
115,1,"月奶石","Yuènǎishí"
119,1,"尺蠖系统","Chǐhuòxìtǒng"
120,1,"热液洞穴","Rèyèdòngxué"
121,1,"希布勒上升器","Xībùlēi shàngshēngqì"
122,1,"暴露","Bàolù"
122,2,"低体温症","Dītǐwēnzhèng"
122,3,"失温症","Shīwēnzhèng"
123,1,"组织胞浆菌病","Zǔzhībāojiāngjùn bìng"
123,2,"网状内皮细胞真菌病","Wǎngzhuàngnèipíxìbāo zhēnjùn bìng"
124,1,"正面图","Zhèngmiàntú"
124,2,"纵切面","Zòngqiēmiàn"
124,3,"剖面","Pōumiàn"
124,4,"截面","Jiémiàn"
124,5,"海拔","Hǎibá"
125,1,"套结","Tàojié"
125,2,"半扣","Bànkòu"
125,3,"环结","Huánjié"
126,1,"旅游洞穴","Lǚyóudòngxué"
127,1,"间歇泉","Jiànxiēquán"
128,1,"罗盘方位角","Luópán fāngwèijiǎo"
130,1,"冰洞","Bīngdòng"
131,1,"冰柱","Bīngzhù"
132,1,"测量记录表","Cèliáng jìlùbiǎo"
133,1,"祝玛尔式上升器","Zhùmǎěrshì shàngshēngqì"
133,2,"祝玛尔上升器","Zhùmǎěr shàngshēngqì"
134,1,"方解石","Fāngjiěshí"
135,1,"方解石片","Fāngjiěshí piàn"
135,2,"方解石板","Fāngjiěshí bǎn"
135,3,"方解石筏","Fāngjiěshí fá"
136,1,"流痕","Liúhén"
136,2,"波鳞","Bōlín"
136,3,"贝窝","Bèiwō"
137,1,"上升器","Shàngshēngqì"
