87,2,"フィギュアエイト","figyuaeito"
88,1,"下降器","kakoki"
88,2,"ディッセンダー","dissenda"
89,1,"侵食","shinshoku"
90,1,"基準面","kijunmen"
91,1,"甌穴","oketsu"
91,2,"ポットホール","pottohoru"
92,1,"歯状カーテン","shijo katen"
93,1,"被覆カルスト","hifuku karusuto"
94,1,"ヘッドライト","heddoraito"
94,2,"ヘッドランプ","heddorampu"
95,1,"台地","daichi"
96,1,"手がかり","tegakari"
96,2,"ホールド","horudo"
97,1,"段","dan"
98,1,"地下の","chikano"
99,1,"通路","tsuro"
99,2,"パッセージ","passeji"
100,1,"流出口","ryushutsuko"
100,2,"流出洞","ryushutsudo"
100,3,"排出洞","haishutsudo"
100,4,"泉","izumi"
101,1,"飽和水帯","howa suitai"
101,2,"飽和帯","howatai"
101,3,"フレアティックゾーン","fureatikkuzon"
102,1,"つらら石","tsuraraishi"
103,1,"石膏","sekko"
103,2,"ジプサム","jipusamu"
104,1,"石膏華","sekkoka"
104,2,"ジプサムフラワー","jipusamufurawa"
105,1,"空窩","kuka"
105,2,"環状亀裂","kanjo kiretsu"
106,1,"曲り石","magariishi"
106,2,"ヘリクタイト","herikutaito"
106,3,"アンソダイト","ansodaito"
106,4,"石花","sekka"
107,1,"自由水帯",",jiyu suitai"
107,2,"循環水帯","junkan suitai"
107,3,"通気帯","tsukitai"
107,4,"ベイドースゾーン","beidosuzon"
108,1,"グアノ","guano"
108,2,"リン鉱石","rinkoseki"
109,1,"縄ばしご","nawa bashigo"
111,1,"漁師結び","ryoshi musubi"
111,2,"フィッシャーマンズノット","fisshamanzunotto"
112,1,"トラバース","torabasu"
112,2,"チムニー","chimuni"
113,1,"節理","setsuri"
113,2,"裂罅","rekka"
113,3,"割れ目","wareme"
114,1,"節理穴","setsuri ana"
115,1,"ムーンミルク","mummiruku"
115,2,"山乳石","yamachichiishi"
119,1,"インチワームシステム","inchiwamushisutemu"
120,1,"熱水洞窟","nessui dokutsu"
120,2,"温水洞窟","onsui dokutsu"
121,1,"ヒーベラー登高器","hibera tokoki"
121,2,"ヒーベラーアッセンダー","hiberaassenda"
122,1,"低体温症","teitaionsyo"
123,1,"ヒストプラズマ症","hisutopurazumasho"
124,1,"縦断面","judammen"
125,1,"結び目","musubime"
125,2,"ヒッチ","hitchi"
126,1,"観光洞","kankodo"
126,2,"観光洞窟","kanko dokutsu"
127,1,"間欠泉","kanketsusen"
128,1,"磁針方位","jishin hoi"
130,1,"氷穴","hyoketsu"
130,2,"アイスケイブ","aisukeibu"
131,1,"つらら","tsurara"
131,2,"氷柱","hyochu"
132,1,"野帳","yacho"
133,1,"ジャマー","jama"
133,2,"ジャマーアッセンダー","jamaassenda"
134,1,"方解石","hokaiseki"
134,2,"カルサイト","karusaito"
135,1,"カルサイトプレート","karusaitopureto"
136,1,"流痕","ryukon"
136,2,"カレントマーク","karentomaku"
136,3,"スカラップ","sukarappu"
137,1,"ギブス","gibusu"
138,1,"毛管水縁","mokan suien"
139,1,"カラビナ","karabina"
139,2,"ビナ","bina"
140,1,"カーバイド","kabaido"
140,2,"カーバイドランプ","kabaidorampu"
141,1,"カレンフェルト","karenferuto"
142,1,"カルスト","karusuto"
